"","Pais","Año_2020"
"151","Singapore",10311.47979
"152","Slovak Republic",2031.692907
"153","Slovenia",807.891242
"154","Solomon Islands",23.277519
"155","Somalia",6548.950079
"156","South Africa",17992.98714
"157","South Sudan",21818.26039
"158","Spain",20960.37066
"159","Sri Lanka",3157.195266
"160","St. Kitts and Nevis",6.986473
"161","St. Lucia",27.377315
"162","St. Vincent and the Grenadines",9.937707
"163","Sudan",29300.73459
"164","Suriname",178.090226
"165","Sweden",6381.072374
"166","Switzerland",2396.71253
"167","Syrian Arab Republic",3263.58976
"168","Tajikistan",2431.16213
"169","Tanzania",27293.19408
"170","Thailand",20931.77794
"171","Timor-Leste",273.821318
"172","Togo",1943.654467
"173","Tonga",52.268669
"174","Trinidad and Tobago",412.555358
"175","Tunisia",3298.02733
"176","Turkiye",38132.07296
"177","Turkmenistan",5327.152463
"178","Tuvalu",1.443188
"179","Uganda",12404.19222
"180","Ukraine",28400.54979
"181","United Arab Emirates",1829.639574
"182","United Kingdom",27696.68924
"183","United States",258002.356
"184","Uruguay",7967.681977
"185","Uzbekistan",16989.31336
"186","Vanuatu",86.279353
"187","Venezuela, RB",13097.21934
"188","Vietnam",26832.53468
"189","Yemen, Rep.",3364.858401
"190","Zambia",12363.49464
"191","Zimbabwe",4690.849521
