"","Pais","Año_2019"
"102","Luxembourg",9500
"103","Madagascar",3927
"104","Malawi",1643
"105","Malaysia",244882
"106","Maldives",1999
"107","Mali",3937
"108","Malta",1658
"109","Marshall Islands",152
"110","Mauritania",3824
"111","Mauritius",4173
"112","Mexico",451828
"113","Micronesia, Fed. Sts.",148
"114","Moldova",8921
"115","Mongolia",23146
"116","Montenegro",2601
"117","Morocco",70986
"118","Mozambique",7530
"119","Myanmar",33995
"120","Namibia",4316
"121","Nauru",53
"122","Nepal",13860
"123","Netherlands",145939
"124","New Zealand",34008
"125","Nicaragua",5131
"126","Niger",2159
"127","Nigeria",119544
"128","North Macedonia",7956
"129","Norway",37661
"130","Oman",75744
"131","Pakistan",184096
"132","Palau",217
"133","Panama",13099
"134","Papua New Guinea",7467
"135","Paraguay",8101
"136","Peru",56972
"137","Philippines",145871
"138","Poland",294948
"139","Portugal",44564
"140","Qatar",89486
"141","Romania",73942
"142","Russian Federation",1703588
"143","Rwanda",1451
"144","Samoa",278
"145","Sao Tome and Principe",140
"146","Saudi Arabia",526770
"147","Senegal",12297
"148","Serbia",46030
"149","Seychelles",595
"150","Sierra Leone",1038
"151","Singapore",45163
"152","Slovak Republic",31032
"153","Slovenia",13665
"154","Solomon Islands",304
"155","Somalia",655
"156","South Africa",446626
"157","South Sudan",1824
"158","Spain",241886
"159","Sri Lanka",23427
"160","St. Kitts and Nevis",247
"161","St. Lucia",534
"162","St. Vincent and the Grenadines",235
"163","Sudan",22131
"164","Suriname",2656
"165","Sweden",34964
"166","Switzerland",37376
"167","Syrian Arab Republic",26840
"168","Tajikistan",8965
"169","Tanzania",14960
"170","Thailand",274466
"171","Timor-Leste",617
"172","Togo",2442
"173","Tonga",161
"174","Trinidad and Tobago",17195
"175","Tunisia",31045
"176","Turkiye",398772
"177","Turkmenistan",63231
"178","Tuvalu",8
"179","Uganda",5943
"180","Ukraine",174599
"181","United Arab Emirates",185645
"182","United Kingdom",345934
"183","United States",4817710
"184","Uruguay",6806
"185","Uzbekistan",117687
"186","Vanuatu",166
"187","Venezuela, RB",107502
"188","Vietnam",341716
"189","Yemen, Rep.",11194
"190","Zambia",7615
"191","Zimbabwe",10185
"192","Africa Eastern and Southern",610723
"193","Africa Western and Central",222990
"194","Arab World",1845846
"195","Caribbean small states",37614
"196","Central Europe and the Baltics",643612
"197","Early-demographic dividend",7347348
"198","East Asia & Pacific",14703257
"199","East Asia & Pacific (excluding high income)",12535996
"200","East Asia & Pacific (IDA & IBRD countries)",12480501
"201","Euro area",2095558
"202","Europe & Central Asia",6034379
"203","Europe & Central Asia (excluding high income)",2922190
"204","Europe & Central Asia (IDA & IBRD countries)",3307604
"205","European Union",2729768
"206","Fragile and conflict affected situations",854476
"207","Heavily indebted poor countries (HIPC)",235656
"208","High income",11869050
"209","IBRD only",21462940
"210","IDA & IBRD total",22406640
"211","IDA blend",478944
"212","IDA only",464755
"213","IDA total",943700
"214","Late-demographic dividend",15468044
"215","Latin America & Caribbean",1620695
"216","Latin America & Caribbean (excluding high income)",1376833
"217","Latin America & the Caribbean (IDA & IBRD countries)",1592486
"218","Least developed countries: UN classification",370595
"219","Low & middle income",21860472
"220","Low income",191195
"221","Lower middle income",5122757
"222","Middle East & North Africa",2508614
"223","Middle East & North Africa (excluding high income)",1439681
"224","Middle East & North Africa (IDA & IBRD countries)",1439681
"225","Middle income",21669277
"226","North America",5383712
"227","OECD members",11605058
"228","Other small states",189059
"229","Pacific island small states",2959
"230","Post-demographic dividend",10513545
"231","Pre-demographic dividend",506463
"232","Small states",229633
"233","South Asia",2752652
"234","South Asia (IDA & IBRD)",2752652
"235","Sub-Saharan Africa",833713
"236","Sub-Saharan Africa (excluding high income)",833118
"237","Sub-Saharan Africa (IDA & IBRD countries)",833713
"238","Upper middle income",16546520
"239","World",35477245
